date,close,session_volume,prev_high,prev_low,prev_close,rolling_high,rolling_low,zone_mid,zone_top,zone_bottom,vol_zone_top,vol_zone_bottom,avg_dist_to_prev_high,min_dist_to_prev_high,avg_dist_to_prev_low,max_dist_to_prev_low,avg_ratio_to_high,avg_ratio_to_low,broke_prev_high,broke_prev_low,breakout_above_magnitude,breakout_below_magnitude,broke_above_prev_high_any,broke_above_prev_high_sum,broke_below_prev_low_any,broke_below_prev_low_sum,broke_above_zone_top_any,broke_above_zone_top_sum,broke_below_zone_bottom_any,broke_below_zone_bottom_sum,broke_above_prev_close_any,broke_above_prev_close_sum,broke_below_prev_close_any,broke_below_prev_close_sum,minutes_to_breakout_above_close,minutes_to_breakout_below_close
2024-08-22,2492.94,76624,2519.47,2504.36,2506.36,2529.11,2497.23,2513.17,2521.1400000000003,2505.2,2507.434,2501.343,-15.738771929824356,-26.529999999999745,-0.6287719298246837,5.960000000000036,-1.0416128979623958,-0.0416129641437282,0.0,1.0,0.0,13.170000000000073,False,0,True,71,False,0,True,79,True,38,True,92,130.0,0.0
2024-08-23,2500.05,66089,2510.48,2491.19,2492.94,2519.47,2504.36,2511.915,2515.6925,2508.1375,2500.276,2493.307,-13.97763157894738,-19.110000000000127,5.312368421052585,11.259999999999764,-0.7246050209612432,0.27539492719842756,0.0,1.0,0.0,0.6700000000000728,False,0,True,3,False,0,True,114,True,106,True,33,0.0,15.0
2024-08-28,2510.04,78330,2517.43,2503.45,2506.55,2526.7,2508.63,2517.665,2522.1825,2513.1475,2510.151,2506.594,-10.568157894736682,-22.86999999999989,3.411842105263336,11.680000000000291,-0.7559482931894403,0.2440516352798066,0.0,1.0,0.0,9.899999999999636,False,0,True,27,False,0,True,109,True,80,True,53,0.0,90.0
2024-08-29,2510.52,79664,2516.08,2493.55,2510.04,2517.43,2503.45,2510.4399999999996,2513.9349999999995,2506.9449999999997,2518.832,2516.649,1.4422807017544743,-10.989999999999782,23.97228070175422,29.9699999999998,0.06401600700126425,1.064015962616002,1.0,0.0,8.210000000000036,0.0,True,98,False,0,True,105,True,3,True,110,True,11,0.0,510.0
2024-09-03,2492.88,83365,2507.18,2495.2,2498.66,2526.75,2512.07,2519.41,2523.08,2515.74,2495.991,2493.727,-9.806929824561253,-21.23999999999978,2.173070175438764,10.039999999999964,-0.8186084312147587,0.1813914853127943,0.0,1.0,0.0,10.529999999999745,False,0,True,52,False,0,True,114,True,45,True,79,175.0,0.0
2024-09-04,2486.14,78347,2506.18,2484.67,2492.88,2507.18,2495.2,2501.1899999999996,2504.1849999999995,2498.1949999999997,2488.821,2486.197,-19.156315789473513,-32.98000000000002,2.353684210526249,11.739999999999782,-0.8905771687074177,0.10942278480257975,0.0,1.0,0.0,12.900000000000091,False,0,True,41,False,0,True,114,True,25,True,91,0.0,115.0
2024-09-06,2508.51,74195,2523.31,2493.72,2518.47,2496.69,2471.77,2484.23,2490.46,2478.0,2519.627,2517.264,-5.037982456140287,-14.799999999999727,24.552017543859858,31.730000000000018,-0.1702596243961013,0.8297403418086987,1.0,0.0,5.769999999999982,0.0,True,6,False,0,True,114,False,0,True,77,True,81,0.0,0.0
2024-09-10,2514.77,71294,2505.14,2485.44,2502.84,2529.08,2506.63,2517.855,2523.4674999999997,2512.2425000000003,2506.424,2504.823,-0.34780701754372084,-4.819999999999709,19.352192982456096,29.329999999999927,-0.017655177659317074,0.9823447715792641,1.0,0.0,10.090000000000146,0.0,True,58,False,0,False,0,True,110,True,83,True,45,75.0,0.0
2024-09-11,2507.53,86754,2515.23,2500.02,2514.77,2505.14,2485.44,2495.29,2500.215,2490.365,2523.288,2520.467,5.687105263157874,-10.7800000000002,20.89710526315791,27.5300000000002,0.3739056468936367,1.3739055811474215,1.0,0.0,13.699999999999818,0.0,True,103,False,0,True,114,False,0,True,103,True,12,0.0,510.0
2024-09-16,2583.37,72173,2581.02,2563.0,2576.89,2542.27,2512.9,2527.585,2534.9275,2520.2425000000003,2585.773,2581.229,3.367280701754393,-3.800000000000182,21.387280701754374,25.960000000000036,0.1868635135899491,1.1868634580960564,1.0,0.0,8.539999999999964,0.0,True,105,False,0,True,114,False,0,True,114,True,1,0.0,410.0
2024-09-17,2576.41,77902,2589.56,2575.17,2583.37,2581.02,2563.0,2572.01,2576.5150000000003,2567.505,2578.043,2576.092,-11.302105263157856,-20.570000000000164,3.0878947368420175,10.409999999999854,-0.78541379275498,0.21458613775232155,0.0,1.0,0.0,6.880000000000109,False,0,True,37,True,83,False,0,True,23,True,99,135.0,0.0
2024-09-18,2577.38,68323,2586.82,2568.29,2576.41,2589.56,2575.17,2582.365,2585.9624999999996,2578.7675,2570.371,2568.794,-14.822631578947522,-20.7800000000002,3.7073684210526783,11.510000000000218,-0.7999261078802619,0.2000738381532002,0.0,1.0,0.0,2.650000000000091,False,0,True,26,False,0,True,114,True,29,True,102,390.0,0.0
2024-09-19,2578.3,98742,2580.62,2565.64,2577.38,2586.82,2568.29,2577.5550000000003,2582.1875000000005,2572.9225,2589.188,2574.329,-0.7185964912279551,-19.40000000000009,14.261403508772062,27.41000000000031,-0.04797039007059841,0.9520295431737318,1.0,1.0,14.140000000000327,6.170000000000073,True,63,True,14,True,61,True,24,True,79,True,49,140.0,0.0
2024-09-24,2633.74,91762,2631.22,2613.78,2629.54,2619.23,2591.27,2605.25,2612.24,2598.26,2628.971,2627.139,-0.6333333333331322,-7.059999999999945,16.806666666666466,25.2199999999998,-0.03631498262718831,0.9636849600333653,1.0,0.0,8.740000000000236,0.0,True,50,False,0,True,114,False,0,True,64,True,66,0.0,105.0
2024-09-26,2667.8,96424,2665.64,2651.47,2664.19,2639.96,2622.56,2631.26,2635.61,2626.9100000000003,2663.698,2660.799,2.19649122807028,-7.019999999999982,16.366491228070352,33.940000000000055,0.15500995575584425,1.1550098851842192,1.0,0.0,19.800000000000182,0.0,True,67,False,0,True,114,False,0,True,68,True,50,225.0,0.0
2024-09-27,2665.97,96839,2685.44,2657.9,2667.8,2665.64,2651.47,2658.555,2662.0975,2655.0125,2664.114,2662.433,-19.546578947368477,-26.300000000000182,7.993421052631487,15.440000000000055,-0.7097522962097388,0.2902476674794419,0.0,0.0,0.0,0.0,False,0,False,0,True,109,False,0,True,42,True,92,0.0,80.0
2024-10-01,2653.85,73799,2660.51,2634.36,2640.63,2674.2,2658.23,2666.215,2670.2075,2662.2225000000003,2645.408,2643.378,-14.275964912280909,-22.43000000000029,11.874035087719182,21.59999999999991,-0.5459259795929209,0.45407398216616285,0.0,0.0,0.0,0.0,False,0,False,0,False,0,True,114,True,101,True,14,65.0,0.0
2024-10-02,2657.79,78548,2656.57,2637.29,2653.85,2660.51,2634.36,2647.4350000000004,2653.9725000000003,2640.8975000000005,2654.246,2652.737,-4.866491228070341,-11.200000000000273,14.413508771929859,20.5,-0.2524113576586583,0.7475885904741244,1.0,0.0,1.449999999999818,0.0,True,2,False,0,True,39,False,0,True,40,True,102,0.0,20.0
2024-10-04,2651.41,72946,2657.4,2640.89,2649.31,2658.02,2643.68,2650.85,2654.435,2647.265,2660.221,2656.446,2.0526315789472847,-20.920000000000073,18.562631578947503,26.740000000000236,0.12432655691221686,1.1243264963428685,1.0,1.0,10.36999999999989,8.980000000000018,True,101,True,7,True,103,True,11,True,107,True,12,0.0,510.0
2024-10-07,2647.37,40117,2667.77,2631.91,2651.41,2657.4,2640.89,2649.145,2653.2725,2645.0175,2652.704,2642.344,-17.864035087719294,-27.86999999999989,17.995964912280833,27.329999999999927,-0.4981604737746447,0.501839498339132,0.0,0.0,0.0,0.0,False,0,False,0,True,43,True,34,True,57,True,69,230.0,0.0
2024-10-08,2639.14,43737,2659.61,2637.74,2647.37,2667.77,2631.91,2649.84,2658.8050000000003,2640.875,2646.557,2642.716,-17.72201754385974,-29.420000000000073,4.147982456140605,14.390000000000327,-0.8103345557167309,0.1896653985585341,0.0,1.0,0.0,9.109999999999673,False,0,True,34,False,0,True,51,True,25,True,101,415.0,0.0
2024-10-15,2651.83,39046,2666.77,2647.69,2653.45,2650.07,2636.17,2643.12,2646.595,2639.645,2655.339,2653.338,-17.14728070175437,-27.34999999999991,1.9327192982455577,8.570000000000164,-0.8987043921933985,0.10129555539570281,0.0,1.0,0.0,9.360000000000127,False,0,True,42,True,84,True,3,True,41,True,95,210.0,0.0
